Group	Basis Dimension	Static Term Norm	B Fit Error	C Fit Error	B Offblock Error	C Offblock Error	Unitary Overlap
0	8	21.0983805349	1.5005083802e-15	1.4186618427e-15	1.5342531586e-15	1.6141370827e-15	0.9999996208
1	24	27.4780254751	2.3153243088e-15	2.0685310635e-15	2.2498414811e-15	2.1099617763e-15	0.9999741770
2	24	25.6080643834	2.0490766853e-15	1.9212752632e-15	2.0356682519e-15	1.8661528071e-15	0.9999977642
3	24	18.4125838791	6.1527503912e-15	4.4930101793e-15	6.1200109095e-15	4.5430696825e-15	0.9999745378
4	72	28.6420691647	6.7796702557e-15	6.8612769318e-15	6.7562305511e-15	6.8630262624e-15	0.9999678045
5	24	14.6726624082	3.7126822049e-15	5.8166638685e-15	3.7326023499e-15	5.8146482064e-15	0.9999976418
6	8	5.3965750516	1.0495957676e-15	9.5481518013e-16	1.0441524489e-15	8.2127225563e-16	0.9999997763
7	72	12.9296710688	1.0695545193e-14	1.1624294271e-14	1.0696514168e-14	1.1619690614e-14	0.9999530220
8	72	9.6908099547	9.5273513415e-15	9.5878324256e-15	9.5155023915e-15	9.5731016939e-15	0.9999763568
9	8	2.1577121858	1.0596417804e-15	1.0764451184e-15	1.0579247722e-15	9.1221799085e-16	0.9999992794
10	24	1.6066204819	4.1382182338e-15	4.3549855997e-15	4.1489652591e-15	4.3592267743e-15	0.9999536965
11	72	6.0322361675	1.4343961900e-14	1.4227704875e-14	1.4338399591e-14	1.4223855838e-14	0.9999613519
12	24	5.3465461329	1.0534882455e-14	9.8001704393e-15	1.0522284310e-14	9.8065657979e-15	0.9999995483
13	24	12.5603780893	7.7082842618e-15	5.5577330680e-15	7.6876341757e-15	5.5601373533e-15	0.9999528692
14	24	14.4303404096	2.1249308614e-14	2.6411862636e-14	2.1219526583e-14	2.6409943871e-14	0.9999996618
15	8	13.5758937334	7.3454428628e-16	7.7996335847e-16	6.0896152830e-16	5.2534881322e-16	0.9999996203
