Group	Basis Dimension	Static Term Norm	B Fit Error	C Fit Error	Unitary Overlap
0	8	34.6749267703	0.0000000000	0.0000000000	0.9999997841
1	24	50.4098239603	0.0000000000	0.0000000000	0.9999997837
2	24	45.7652848123	0.0000000000	0.0000000000	0.9999997811
3	24	40.7609130634	0.0000000000	0.0000000000	0.9999997834
4	48	51.0762660209	0.0000000000	0.0000000000	0.9999997807
5	24	34.0248558827	0.1355762522	0.1355762522	0.9999997819
6	24	31.4718352370	0.0000000000	0.0000000000	0.9999997781
7	8	17.9625228903	0.0000000000	0.0000000000	0.9999997830
8	24	26.4674635471	0.1502939969	0.1502939969	0.9999997803
9	48	34.4727925208	0.0000000000	0.0000000000	0.9999997814
10	24	21.8229251887	0.1679120428	0.1679120428	0.9999997772
11	48	27.9044235173	0.0000000000	0.0000000000	0.9999997788
12	8	9.9179466504	0.0000000000	0.0000000000	0.9999997751
13	24	14.7270355561	0.0000000000	0.0000000000	0.9999997810
14	48	14.2588070613	0.0000000000	0.0000000000	0.9999997784
15	24	7.9909817806	0.1497895448	0.1497895448	0.9999997793
16	24	5.4379682652	0.0000000000	0.0000000000	0.9999997758
17	24	1.6579705045	0.0000000000	0.0000000000	0.9999997791
18	24	6.3024877310	0.0000000000	0.0000000000	0.9999997765
19	8	10.4170782135	0.0000000000	0.0000000000	0.9999997772
