Group	Overlap
0	0.9999986168
1	0.9999982460
2	0.4634328132
3	0.4650339631
4	0.9999978752
5	0.3565473558
6	0.3565473558
7	0.9999985464
8	1.0000000000
9	1.0000000000
10	1.0000000000
11	0.9999975043
12	0.3661208575
13	0.3669586520
14	0.9999981756
15	1.0000000000
16	1.0000000000
17	1.0000000000
18	0.4641249384
19	0.4641249384
20	2.1932800507
21	0.9302616561
22	0.4559381278
23	0.9999978047
24	0.4456171814
25	0.4456171814
26	0.9999984760
27	1.0000000000
28	1.0000000000
29	1.0000000000
30	0.9999981052
31	0.3792406474
32	0.4577376986
33	0.9999984056
