Group	Ideal Target Overlap	Local Target Overlap
0	0.7071067412	0.9999992841
1	0.2352268674	0.9999992841
2	0.2361827986	0.9999992840
3	0.7071039678	0.9999992841
4	0.7071067411	0.9999992840
5	0.2355431540	0.9999992841
6	0.2358617984	0.9999992840
7	0.7071039721	0.9999992840
8	0.7071039721	0.9999992840
9	0.2358617984	0.9999992840
10	0.2355431540	0.9999992841
11	0.7071067411	0.9999992840
12	0.7071039678	0.9999992841
13	0.2361827986	0.9999992840
14	0.2352268674	0.9999992841
15	0.7071067412	0.9999992841
