Group	Ideal Minus	Ideal Plus	Ideal Plus-Minus	Ideal Minus-Plus	Local Target Overlap
0	0.9999995070	0.4996188422	0.4996186556	0.4996186556	0.9999995070
1	0.3328190619	0.4998905020	0.4998902915	0.4998902915	0.9997143097
2	0.3327594100	0.4994806295	0.4994809021	0.4994809021	0.9878881965
3	0.3339299453	0.5001685493	0.5001683137	0.5001683137	0.9997257534
4	0.3331975623	0.4997880179	0.4997883022	0.4997883022	0.9896204156
5	0.9999992909	0.4999389694	0.4999391878	0.4999391878	0.9929617248
6	0.3323134617	0.4993384508	0.4993383399	0.4993383399	0.9903896202
7	0.9999993909	0.5004515680	0.5004513067	0.5004513067	0.9999993909
8	0.9999991380	0.5000960015	0.5000962924	0.5000962924	0.9914576814
9	0.3334906541	0.5002378410	0.5002380683	0.5002380683	0.9942164227
10	0.9999988469	0.4996665899	0.4996665415	0.4996665415	0.9930452087
11	0.3335134507	0.4998431890	0.4998431131	0.4998431131	0.9918045054
12	0.9999986080	0.4992290879	0.4992283257	0.4992283257	0.9999986080
13	0.3339730063	0.5005378315	0.5005380629	0.5005380629	0.9956122887
14	0.3331811969	0.5001605126	0.5001604948	0.5001604948	0.9941855784
15	0.9999990388	0.5003158406	0.5003157932	0.5003157932	0.9941763710
16	0.3323182336	0.4997351700	0.4997344460	0.4997344460	0.9994053958
17	0.3342515651	0.5006244016	0.5006244079	0.5006244079	0.9962487745
18	0.3342879742	0.5002283817	0.5002277013	0.5002277013	0.9993655903
19	0.9999988127	0.5007023562	0.5007017234	0.5007017234	0.9999988127
