interaction_u	projection_level	transport_dim	theta_b	theta_c	state_error_normalized	local_y_error_normalized	best_chi_target_mismatch_normalized	local_y_target_mismatch_normalized	gamma2_state_vs_best_chi_normalized	gamma3_state_vs_best_chi_normalized
0.0	8	4	1.5707963267948966	1.5707963267948966	1.153251418251729e-06	1.1532514182328498e-06	2.543904983587117e-16	2.543904983587117e-16	5.557351940818208e-17	2.2888303576545844e-16
0.0	32	8	1.5707963267948966	1.5707963267948966	1.1532514177529721e-06	1.1533745882355728e-06	9.8607676155204e-05	9.8607676155204e-05	5.4074177532413525e-05	5.407417758845749e-05
0.0	56	8	1.5707963267948966	1.5707963267948966	1.1532514176941745e-06	1.1534859484611954e-06	0.0001368487012443915	0.0001368487012443915	9.269321985464092e-05	9.269321995032067e-05
0.0	80	12	1.5707963267948966	1.5707963267948966	1.153251418106948e-06	1.153410134837062e-06	0.00011106731602215999	0.00011106731602215999	6.488796080287333e-05	6.488796086971748e-05
0.1	8	4	1.5707963267948966	1.5707963267948966	9.461520619953466e-07	9.461520619017122e-07	7.856194761881339e-17	7.856194761881339e-17	1.2421491134263813e-16	7.855754162068994e-17
0.1	32	8	1.5707963267948966	1.5707963267948966	0.0001592451705491483	0.00015924517041946069	3.683947870860609e-07	3.683947870860609e-07	2.008807909730232e-07	2.00880791463516e-07
0.1	56	12	1.5707963267948966	1.5707963267948966	0.0001230185847704571	0.00012301865139143156	0.00029048801357005495	0.00029048801357005495	0.0001232043899654944	0.00012320439009263573
0.1	80	12	1.5707963267948966	1.5707963267948966	4.178301002162624e-05	4.1782943920274125e-05	0.00027298235107093573	0.00027298235107093573	8.638141507590012e-05	8.638141516475096e-05
2.0	8	4	1.5707963267948966	1.5707963267948966	1.0172138134606186e-06	1.0172138132309793e-06	2.6354790981142837e-16	2.6354790981142837e-16	2.0370802230451284e-16	1.8411336972302266e-16
2.0	32	8	1.5707963267948966	1.5707963267948966	0.023514837780776555	0.023514839733733375	0.005430713433711737	0.005430713433711737	0.0028314962538319734	0.0028314962568377
2.0	56	12	1.5707963267948966	1.5707963267948966	0.08341978536367041	0.08341978770773419	0.03434516268619643	0.03434516268619643	0.021921796169701954	0.021921796194696443
2.0	80	12	1.5707963267948966	1.5707963267948966	0.07811614142199856	0.07811614500539517	0.02689206162255632	0.02689206162255632	0.01774204842431148	0.017742048444416448
