interaction_u	projection_level	transport_dim	component_levels	tocheck	b_matrix_error	b_matrix_error_normalized	c_matrix_error	c_matrix_error_normalized	ideal_target_gate_error	ideal_target_gate_error_normalized	physical_target_gate_error_in_ideal_basis	physical_target_gate_error_in_ideal_basis_normalized	physical_target_gate_error_in_physical_basis	physical_target_gate_error_in_physical_basis_normalized	physical_vs_ideal_target_gate_error_in_ideal_basis	physical_vs_ideal_target_gate_error_in_ideal_basis_normalized	physical_target_gate_error_against_physical_target_in_ideal_basis	physical_target_gate_error_against_physical_target_in_ideal_basis_normalized	physical_target_gate_error_against_ideal_target_in_physical_basis	physical_target_gate_error_against_ideal_target_in_physical_basis_normalized	ideal_vs_physical_target_gate_error_in_ideal_basis	ideal_vs_physical_target_gate_error_in_ideal_basis_normalized	ideal_vs_physical_target_gate_error_in_physical_basis	ideal_vs_physical_target_gate_error_in_physical_basis_normalized	gamma2_ideal_vs_physical_error_in_ideal_basis_normalized	gamma3_ideal_vs_physical_error_in_ideal_basis_normalized	gamma2_ideal_vs_physical_error_in_physical_basis_normalized	gamma3_ideal_vs_physical_error_in_physical_basis_normalized	ideal_single_exchange_gamma2_to_minus_gamma3_error	ideal_single_exchange_gamma2_to_minus_gamma3_error_normalized	ideal_single_exchange_gamma3_to_gamma2_error	ideal_single_exchange_gamma3_to_gamma2_error_normalized	ideal_single_exchange_gamma1_to_gamma1_error	ideal_single_exchange_gamma1_to_gamma1_error_normalized	ideal_single_exchange_gamma0_to_gamma0_error	ideal_single_exchange_gamma0_to_gamma0_error_normalized	ideal_single_exchange_max_error	ideal_single_exchange_max_error_normalized	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_ideal_basis_max_error	physical_single_exchange_in_ideal_basis_max_error_normalized	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_physical_basis_max_error	physical_single_exchange_in_physical_basis_max_error_normalized	ideal_transport_single_exchange_gamma2_to_minus_gamma3_error	ideal_transport_single_exchange_gamma2_to_minus_gamma3_error_normalized	ideal_transport_single_exchange_gamma3_to_gamma2_error	ideal_transport_single_exchange_gamma3_to_gamma2_error_normalized	ideal_transport_single_exchange_gamma1_to_gamma1_error	ideal_transport_single_exchange_gamma1_to_gamma1_error_normalized	ideal_transport_single_exchange_gamma0_to_gamma0_error	ideal_transport_single_exchange_gamma0_to_gamma0_error_normalized	ideal_transport_single_exchange_max_error	ideal_transport_single_exchange_max_error_normalized	physical_transport_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_transport_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error_normalized	physical_transport_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_transport_single_exchange_in_ideal_basis_gamma3_to_gamma2_error_normalized	physical_transport_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_transport_single_exchange_in_ideal_basis_gamma1_to_gamma1_error_normalized	physical_transport_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_transport_single_exchange_in_ideal_basis_gamma0_to_gamma0_error_normalized	physical_transport_single_exchange_in_ideal_basis_max_error	physical_transport_single_exchange_in_ideal_basis_max_error_normalized	physical_transport_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_transport_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error_normalized	physical_transport_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_transport_single_exchange_in_physical_basis_gamma3_to_gamma2_error_normalized	physical_transport_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_transport_single_exchange_in_physical_basis_gamma1_to_gamma1_error_normalized	physical_transport_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_transport_single_exchange_in_physical_basis_gamma0_to_gamma0_error_normalized	physical_transport_single_exchange_in_physical_basis_max_error	physical_transport_single_exchange_in_physical_basis_max_error_normalized	ideal_majorana_algebra_gamma0_square_error_normalized	ideal_majorana_algebra_gamma1_square_error_normalized	ideal_majorana_algebra_gamma2_square_error_normalized	ideal_majorana_algebra_gamma3_square_error_normalized	ideal_majorana_algebra_max_square_error_normalized	ideal_majorana_algebra_max_anticommutator_error_normalized	physical_majorana_algebra_gamma0_square_error_normalized	physical_majorana_algebra_gamma1_square_error_normalized	physical_majorana_algebra_gamma2_square_error_normalized	physical_majorana_algebra_gamma3_square_error_normalized	physical_majorana_algebra_max_square_error_normalized	physical_majorana_algebra_max_anticommutator_error_normalized
0.0	8	4	4	Both	1.2927230330722467e-15	4.570466114407136e-16	1.2866691924582602e-15	4.549062555655274e-16	2.3065028366143653e-06	1.1532514183071826e-06	2.3065028363405487e-06	1.1532514181702744e-06	2.3065028369681137e-06	1.1532514184840569e-06	1.824527838423498e-15	9.12263919211749e-16													0.0037164774297306184	0.0013139731963446354	5.3146064517923685e-06	1.8789971307000798e-06	0.0037164736297537974	0.0013139718528499462	1.8415496046162026e-07	6.510861066577611e-08	0.0037164774297306184	0.0013139731963446354	0.0037164774297328055	0.0013139731963454086	5.314606454306921e-06	1.8789971315891087e-06	0.0037164736297559814	0.0013139718528507184	1.8415496293557877e-07	6.510861154045253e-08	0.0037164774297328055	0.0013139731963454086	0.003716477429732798	0.001313973196345406	5.3146064543115334e-06	1.8789971315907392e-06	0.0037164736297559814	0.0013139718528507184	1.8415496293557877e-07	6.510861154045253e-08	0.003716477429732798	0.001313973196345406																															1.363392051837862e-15	1.3625339732686696e-15	1.4328655690669051e-15	1.6659848046428265e-15	1.6659848046428265e-15	1.9821057922365494e-13	1.363392051837862e-15	1.3625339732686696e-15	1.5478200801859546e-15	1.65154587400301e-15	1.65154587400301e-15	1.9821060213684987e-13
0.0	8	4	4	Both	1.2927230330722467e-15	4.570466114407136e-16	1.2866691924582602e-15	4.549062555655274e-16	2.3065028366143653e-06	1.1532514183071826e-06	0.004270836026040492	0.002135418013020246	2.306502836959927e-06	1.1532514184799636e-06	0.004270831591796757	0.0021354157958983783	2.306502906892532e-06	1.153251453446266e-06	0.004270836089736868	0.002135418044868434	0.0042708392783366265	0.0021354196391683133	0.004270839278336624	0.002135419639168312	0.002135420857464722	0.002135420857465163	0.0021354208574647215	0.002135420857465163	0.0037164774297306184	0.0013139731963446354	5.3146064517923685e-06	1.8789971307000798e-06	0.0037164736297537974	0.0013139718528499462	1.8415496046162026e-07	6.510861066577611e-08	0.0037164774297306184	0.0013139731963446354	0.009315166017126918	0.003293408529294463	0.008541674582289377	0.0030199380099127943	0.003716473629755312	0.0013139718528504816	1.841549638319455e-07	6.510861185736603e-08	0.009315166017126918	0.003293408529294463	0.00371647742973213	0.0013139731963451697	5.314606455180798e-06	1.8789971318980705e-06	0.003716473629755312	0.0013139718528504816	1.841549638319455e-07	6.510861185736603e-08	0.00371647742973213	0.0013139731963451697	4.027515217664725e-06	2.0137576088323624e-06	3.7579934510125576e-06	1.8789967255062788e-06	0.002627943138548743	0.0013139715692743715	1.302172211818008e-07	6.51086105909004e-08	0.002627943138548743	0.0013139715692743715	0.006039876013373482	0.003019938006686741	0.006039876019824899	0.0030199380099124496	0.0026279431385488545	0.0013139715692744272	1.302172241116675e-07	6.510861205583375e-08	0.006039876019824899	0.0030199380099124496	4.0275152179922386e-06	2.0137576089961193e-06	3.75799345095344e-06	1.87899672547672e-06	0.0026279431385488545	0.0013139715692744272	1.302172241116678e-07	6.51086120558339e-08	0.0026279431385488545	0.0013139715692744272	1.363392051837862e-15	1.3625339732686696e-15	1.4328655690669051e-15	1.6659848046428265e-15	1.6659848046428265e-15	1.9821057922365494e-13	1.363392051837862e-15	1.3625339732686696e-15	1.4958932620059409e-15	1.6547515059362152e-15	1.6547515059362152e-15	1.982102950242937e-13
0.0	32	8	4	Both	6.0418831224986285	1.068064131763833	6.041883122498631	1.0680641317638335	3.261887591156869e-06	1.1532514175876372e-06	0.006039817904821424	0.002135398098815577	0.6657409499549272	0.23537497011335146	0.006039810992918343	0.0021353956550888074													5.6568566911677145	1.0000004316312965	5.656854249497371	1.0000000000008822	0.005255887411396346	0.0009291184074378413	2.604344471764562e-07	4.6038740913260464e-08	5.6568566911677145	1.0000004316312965	5.7154283823937355	1.0103545416441675	5.7402289581650905	1.0147387054704815	0.7641747109327907	0.1350882800279615	0.770490785646587	0.13620481484311306	5.7402289581650905	1.0147387054704815	6.243177519392154	1.1036482900284001	6.1764401164416896	1.0918506724821369	0.7641747109327907	0.1350882800279615	0.770490785646587	0.13620481484311306	6.243177519392154	1.1036482900284001																															1.938227056763731e-15	1.970357305809375e-15	1.667647658372794e-15	1.9795346074878673e-15	1.9795346074878673e-15	1.7667182210572418e-13	1.938227056763731e-15	1.970357305809375e-15	0.281095824188389	0.28109582418838963	0.28109582418838963	0.39752952689366355
0.0	32	8	4	Both	6.0418831224986285	1.068064131763833	6.041883122498631	1.0680641317638335	3.261887591156869e-06	1.1532514175876372e-06	0.012079664514091716	0.004270806346186377	0.00027717254628529517	9.79952935185372e-05	0.01207965329334178	0.004270802379052192	0.0002771725479112913	9.799529409341366e-05	0.012079664694249207	0.004270806409881669	0.012082241355133942	0.004271717397073876	0.012082241355134337	0.0042717173970740156	0.004271046654043795	0.004271046654044586	0.004271046654043879	0.004271046654044588	5.6568566911677145	1.0000004316312965	5.656854249497371	1.0000000000008822	0.005255887411396346	0.0009291184074378413	2.604344471764562e-07	4.6038740913260464e-08	5.6568566911677145	1.0000004316312965	5.656929954223305	1.0000133828321511	5.656936635806338	1.000014563980319	0.015294434873735207	0.0027036996534085455	0.014368884432976601	0.0025400839051608936	5.656936635806338	1.000014563980319	5.657084336683862	1.0000406740533403	5.657060171968919	1.0000364022948898	0.015294434873735207	0.0027036996534085455	0.014368884432976601	0.0025400839051608936	5.657084336683862	1.0000406740533403	5.695766641364733e-06	2.0137576080825646e-06	5.314605303687431e-06	1.8789967247836864e-06	0.00371647282767926	0.0013139715692737739	1.8415496249648115e-07	6.510861138520808e-08	0.00371647282767926	0.0013139715692737739	0.017083229445930666	0.0060398336928916396	0.017083229832661303	0.006039833829621568	0.0037165775530621234	0.0013140085952879665	1.841321505503359e-07	6.510054614430239e-08	0.017083229832661303	0.006039833829621568	5.675536460275995e-06	2.006605158966325e-06	5.24594236464989e-06	1.8547207098788647e-06	0.0037165768595783925	0.0013140083501044422	1.8413314984791948e-07	6.510089944935128e-08	0.0037165768595783925	0.0013140083501044422	1.938227056763731e-15	1.970357305809375e-15	1.667647658372794e-15	1.9795346074878673e-15	1.9795346074878673e-15	1.7667182210572418e-13	1.938227056763731e-15	1.970357305809375e-15	0.00010814543115892101	0.0001081454311597279	0.0001081454311597279	0.00015294073545454867
0.0	56	8	4	Both	9.611134443832274	1.2843418638229458	9.611134443832276	1.2843418638229462	3.261887592175853e-06	1.1532514179479026e-06	0.03623516843445061	0.012811066658718381	0.8251532776671968	0.2917357390783905	0.036235135751989465	0.01281105510372343													8.944273454250435	1.1952288156936506	8.94427191000232	1.1952286093348161	0.005255887411404286	0.0007023474984618935	2.604344461527863e-07	3.4802016757784045e-08	8.944273454250435	1.1952288156936506	9.01257830379208	1.2043564351522213	9.041990532048786	1.2082868094778707	1.0429656548215984	0.13937214808981266	1.0506896285492378	0.14040430749528657	9.041990532048786	1.2082868094778707	9.45497129669188	1.2634736855000988	9.382723320807816	1.2538191436198818	1.0429656548215984	0.13937214808981266	1.0506896285492378	0.14040430749528657	9.45497129669188	1.2634736855000988																															2.0064829372625604e-15	2.0302926359325184e-15	2.0712222838894e-15	2.0808818685464386e-15	2.0808818685464386e-15	1.595217336381878e-13	2.0064829372625604e-15	2.0302926359325184e-15	0.16383155039268824	0.16383155039268799	0.16383155039268824	0.25025682696548823
0.0	56	8	4	Both	9.611134443832274	1.2843418638229458	9.611134443832276	1.2843418638229462	3.261887592175853e-06	1.1532514179479026e-06	0.04227448728270004	0.014946288314390831	0.0003850229131356443	0.00013612615639520655	0.042274449429801145	0.014946274931370082	0.00038502291096130704	0.00013612615562646224	0.04227448791318604	0.014946288537301294	0.04227223895159287	0.014945493409304714	0.042272238951603855	0.014945493409308598	0.014946313929979214	0.014946313929982032	0.014946313929982165	0.014946313929982028	8.944273454250435	1.1952288156936506	8.94427191000232	1.1952286093348161	0.005255887411404286	0.0007023474984618935	2.604344461527863e-07	3.4802016757784045e-08	8.944273454250435	1.1952288156936506	8.94470046739745	1.1952858777256428	8.944710460471752	1.195287213106367	0.020981005566800943	0.0028037048021773547	0.020320362568789174	0.002715422668122668	8.944710460471752	1.195287213106367	8.944506116787752	1.1952599065329854	8.944477096308326	1.1952560285082994	0.020981005566800943	0.0028037048021773547	0.020320362568789174	0.002715422668122668	8.944506116787752	1.1952599065329854	5.69576664305408e-06	2.0137576086798384e-06	5.314605305331911e-06	1.8789967253650979e-06	0.0037164728276851675	0.0013139715692758625	1.8415496162414739e-07	6.510861107679151e-08	0.0037164728276851675	0.0013139715692758625	0.059785166418233913	0.021137248294349726	0.05978516816633565	0.021137248912397023	0.003716682266714409	0.0013140456171547735	1.8411219079767904e-07	6.509348930607516e-08	0.05978516816633565	0.021137248912397023	5.655322807618189e-06	1.9994585535328832e-06	5.17646489778372e-06	1.8301567158984983e-06	0.0037166808799181964	0.0013140451268482704	1.8411418909223273e-07	6.509419580989002e-08	0.0037166808799181964	0.0013140451268482704	2.0064829372625604e-15	2.0302926359325184e-15	2.0712222838894e-15	2.0808818685464386e-15	2.0808818685464386e-15	1.595217336381878e-13	2.0064829372625604e-15	2.0302926359325184e-15	7.568018948248376e-05	7.568018948215254e-05	7.568018948248376e-05	0.00011560339897015362
0.0	80	12	4	Both	10.402310783273109	1.1630137017238875	10.402310783273112	1.163013701723888	3.994980099189699e-06	1.1532514178371852e-06	0.007397235572516992	0.002135397974525881	0.9783695622534233	0.2824309650669751	0.007397226841508064	0.0021353954541007032													10.583007201954153	1.1832161754969666	10.583005244262367	1.1832159566203708	0.006437121151725646	0.000719692023733014	3.18965752959929e-07	3.56614553056403e-08	10.583007201954153	1.1832161754969666	10.642398093421292	1.1898562790252083	10.66953596586906	1.1928903854031045	1.0867593277287146	0.1215033865991689	1.0956558364433493	0.12249804651158601	10.66953596586906	1.1928903854031045	11.13892144876272	1.245369277773194	11.062945931884423	1.2368749567549164	1.0867593277287146	0.1215033865991689	1.0956558364433493	0.12249804651158601	11.13892144876272	1.245369277773194																															2.080483573663431e-15	2.0829014029679997e-15	2.1017896534969757e-15	2.160168251675215e-15	2.160168251675215e-15	2.090150817119943e-13	2.080483573663431e-15	2.0829014029679997e-15	0.2817780615110163	0.28177806151101625	0.2817780615110163	0.29572748057128984
0.1	8	4	4	Both	2.792557942342151e-13	9.873183289432434e-14	2.794794546626877e-13	9.881090879715236e-14	1.8923041235875994e-06	9.461520617937997e-07	1.89230412369414e-06	9.4615206184707e-07	1.8923041236610117e-06	9.461520618305058e-07	1.7142402807984395e-13	8.571201403992198e-14													0.0037164546321025284	0.0013139651361659267	5.314560552025719e-06	1.8789809026819535e-06	0.0037164508321680355	0.0013139637926862027	8.529442291802649e-09	3.0156132421364897e-09	0.0037164546321025284	0.0013139651361659267	0.0037164546321039734	0.0013139651361664376	5.3145605540882665e-06	1.8789809034111741e-06	0.0037164508321694775	0.0013139637926867125	8.529439344086228e-09	3.0156121999613545e-09	0.0037164546321039734	0.0013139651361664376	0.003716454632103957	0.0013139651361664317	5.3145605541277315e-06	1.8789809034251271e-06	0.0037164508321694775	0.0013139637926867125	8.529439344086228e-09	3.0156121999613545e-09	0.003716454632103957	0.0013139651361664317																															1.103561363756116e-15	1.0759549462407656e-15	2.8555976635243798e-15	3.233010200980808e-15	3.233010200980808e-15	6.428207218917391e-12	1.103561363756116e-15	1.0759549462407656e-15	3.036826794093461e-15	3.1825636067808802e-15	3.1825636067808802e-15	6.428211735106926e-12
0.1	32	8	4	Both	5.7433557444652825	1.0152914484195283	5.7433557444652825	1.0152914484195283	2.6761221686402104e-06	9.46152066364571e-07	0.05813478747600602	0.020553751223561314	0.5284009227377675	0.18681793782655218	0.05813475464851367	0.02055373961729009													5.65685669113776	1.0000004316260012	5.656854249497371	1.0000000000008822	0.005255855170738204	0.0009291127080408409	1.2062461653938655e-08	2.13236210832568e-09	5.65685669113776	1.0000004316260012	5.695464127529471	1.006825326645203	5.711384527165417	1.0096396822806473	0.6076699515683651	0.10742188586932297	0.6109895235322682	0.10800870883090112	5.711384527165417	1.0096396822806473	6.127475262912854	1.0831948274896255	6.081238684167256	1.075021277897156	0.6076699515683651	0.10742188586932297	0.6109895235322682	0.10800870883090112	6.127475262912854	1.0831948274896255																															2.120756943465012e-15	2.0819638388800456e-15	2.4648361010899233e-15	2.6396382854142983e-15	2.6396382854142983e-15	7.179938810732473e-12	2.120756943465012e-15	2.0819638388800456e-15	0.21954044488745342	0.2195404448874535	0.2195404448874535	0.310256988728358
0.1	56	12	4	Both	6.590000800709514	0.8806258991007478	6.590000800709514	0.8806258991007478	3.277566908951269e-06	9.461520685850124e-07	0.008810227848352026	0.00254329370993399	0.8102400223765855	0.23389614751366505	0.00881022217115726	0.0025432920710690265													8.000002589756148	1.0690453137204197	8.000000000005295	1.0690449676504052	0.006437081665144896	0.0008601912200591607	1.4773422792681659e-08	1.9741816614347086e-09	8.000002589756148	1.0690453137204197	8.023049426868154	1.0721250768747737	8.04069037621037	1.074482447889631	0.7490082637373856	0.10009043938456119	0.755022891835434	0.10089417787212408	8.04069037621037	1.074482447889631	8.49934618239181	1.1357729080748291	8.437536047512545	1.1275131813695256	0.7490082637373856	0.10009043938456119	0.755022891835434	0.10089417787212408	8.49934618239181	1.1357729080748291																															2.3382382974147315e-15	2.2836571769450796e-15	2.7003574528002957e-15	2.601420694518603e-15	2.7003574528002957e-15	6.429435942980713e-12	2.3382382974147315e-15	2.2836571769450796e-15	0.3514792161224939	0.35147921612249416	0.35147921612249416	0.4154819794843951
