interaction_u	projection_level	transport_dim	ideal_coupling_mode	ideal_coupling_theta	physical_coupling_mode	physical_coupling_theta	ideal_target_gate_error	ideal_target_gate_error_normalized	physical_target_gate_error_in_ideal_basis	physical_target_gate_error_in_ideal_basis_normalized	physical_target_gate_error_in_physical_basis	physical_target_gate_error_in_physical_basis_normalized	physical_vs_ideal_target_gate_error_in_ideal_basis	physical_vs_ideal_target_gate_error_in_ideal_basis_normalized	best_b_candidate_target_axis	best_b_candidate_overlap_x	best_b_candidate_overlap_y	best_b_candidate_score	best_b_candidate_coefficients_plus	best_b_candidate_coefficients_minus	best_c_candidate_target_axis	best_c_candidate_overlap_x	best_c_candidate_overlap_y	best_c_candidate_score	best_c_candidate_coefficients_plus	best_c_candidate_coefficients_minus	ideal_single_exchange_gamma2_to_minus_gamma3_error	ideal_single_exchange_gamma2_to_minus_gamma3_error_normalized	ideal_single_exchange_gamma3_to_gamma2_error	ideal_single_exchange_gamma3_to_gamma2_error_normalized	ideal_single_exchange_gamma1_to_gamma1_error	ideal_single_exchange_gamma1_to_gamma1_error_normalized	ideal_single_exchange_gamma0_to_gamma0_error	ideal_single_exchange_gamma0_to_gamma0_error_normalized	ideal_single_exchange_max_error	ideal_single_exchange_max_error_normalized	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_ideal_basis_max_error	physical_single_exchange_in_ideal_basis_max_error_normalized	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_physical_basis_max_error	physical_single_exchange_in_physical_basis_max_error_normalized	ideal_majorana_algebra_gamma0_square_error_normalized	ideal_majorana_algebra_gamma1_square_error_normalized	ideal_majorana_algebra_gamma2_square_error_normalized	ideal_majorana_algebra_gamma3_square_error_normalized	ideal_majorana_algebra_max_square_error_normalized	ideal_majorana_algebra_max_anticommutator_error_normalized	physical_majorana_algebra_gamma0_square_error_normalized	physical_majorana_algebra_gamma1_square_error_normalized	physical_majorana_algebra_gamma2_square_error_normalized	physical_majorana_algebra_gamma3_square_error_normalized	physical_majorana_algebra_max_square_error_normalized	physical_majorana_algebra_max_anticommutator_error_normalized
0.0	8	4	rotated	0.5235987755982988	rotated	0.5235987755982988	2.306502835637663e-06	1.1532514178188315e-06	2.3065028371830115e-06	1.1532514185915058e-06	2.3065028375262238e-06	1.1532514187631119e-06	2.6878318224584584e-15	1.3439159112292292e-15	minus	1.2170819038270339e-33	1.0	1.0	-0.00213519,8.68649e-50,-2.34071e-20,0,-7.30585e-21,3.01373e-67,-5.04118e-21,2.08643e-67	0,-0.999892,-1.1101e-16,0,0,-3.42126e-18,0,-2.36074e-18	minus	9.011059722252813e-35	1.0	1.0	-0.00213519,9.35468e-51,-2.94802e-20,0,-6.93207e-21,2.89782e-68,-7.7462e-21,3.24556e-68	0,-0.999892,0,0,-2.77526e-17,-3.24623e-18,0,-3.62748e-18	0.0037164774297319793	0.0013139731963451166	5.314606452805958e-06	1.8789971310584379e-06	0.003716473629755157	0.0013139718528504267	1.8415496364007918e-07	6.510861178953104e-08	0.0037164774297319793	0.0013139731963451166	0.003716477429731233	0.0013139731963448527	5.31460645591666e-06	1.878997132158237e-06	0.0037164736297544063	0.0013139718528501613	1.8415496509042477e-07	6.510861230230563e-08	0.003716477429731233	0.0013139731963448527	0.0037164774297312247	0.0013139731963448498	5.314606455876679e-06	1.8789971321441018e-06	0.0037164736297544063	0.0013139718528501613	1.8415496509042477e-07	6.510861230230563e-08	0.0037164774297312247	0.0013139731963448498	1.363392051837862e-15	1.3625339732686696e-15	1.398057056430473e-15	1.684394732896426e-15	1.684394732896426e-15	1.9821058013158951e-13	1.363392051837862e-15	1.3625339732686696e-15	1.8311283280642274e-15	1.8058690605646217e-15	1.8311283280642274e-15	1.9821121546642098e-13
0.0	32	16	rotated	0.5235987755982988	rotated	0.5235987755982988	0.6249447551324525	0.15623618878311313	4.049996728503347	1.0124991821258367	3.9674075418673542	0.9918518854668386	3.790111822112038	0.9475279555280095	minus	3.791921248796806e-19	0.9999459258224119	0.9999459258224119	-0.00213519,7.9018e-20,-0.00213519,-7.51593e-35,-7.77071e-19,-4.60295e-36,-4.63642e-19,-1.99511e-36	0,-0.999892,-4.44041e-16,0.999892,3.78105e-17,-9.73443e-18,-8.7233e-17,1.05675e-18	minus	-1.818378103024721e-19	0.9999459258224117	0.9999459258224117	-0.00213519,2.86133e-50,-0.00213519,3.24069e-34,-1.10522e-19,-9.2907e-53,2.7281e-21,1.5589e-51	0,-0.999892,2.12936e-16,0.999892,-1.51922e-16,-4.60815e-18,1.06815e-16,1.64667e-18	3.164261365348979	0.5593676672212166	1.7045456753251256	0.3013239514661498	2.665909607107962	0.4712706903041011	0.46352608198500034	0.08194060895710632	3.164261365348979	0.5593676672212166	7.759933251952551	1.3717753560026564	7.544335760111843	1.3336627438808126	6.45999483766368	1.1419765390355194	6.411096222507491	1.1333324034436265	7.759933251952551	1.3717753560026564	7.324490439035004	1.294799214544421	5.765945701782776	1.0192848264210068	6.45999483766368	1.1419765390355194	6.411096222507491	1.1333324034436265	7.324490439035004	1.294799214544421	1.938227056763731e-15	1.970357305809375e-15	1.7559232532494332e-15	1.669907931163555e-15	1.970357305809375e-15	1.7667081865494712e-13	1.938227056763731e-15	1.970357305809375e-15	0.5397624316239991	0.5397624316239995	0.5397624316239995	0.7633393512621403
0.0	56	28	rotated	0.5235987755982988	rotated	0.5235987755982988	2.1915330992747126	0.4141608264748226	4.125737322453114	0.7796910664277457	2.825701365550442	0.5340073637558632	3.657144543067359	0.6911353549695126	minus	1.9291877861019708e-20	0.9999073067800494	0.9999073067800494	-0.00213519,-1.18527e-19,-0.00213519,-5.65796e-34,-2.83863e-19,-2.69827e-36,-1.8274e-19,-1.34731e-36	0,-0.999892,-1.72542e-17,0.999892,2.68685e-16,-9.8431e-18,5.11657e-17,5.16712e-19	minus	-1.0093640438207425e-19	0.9999073067800495	0.9999073067800495	-0.00213519,1.81596e-33,-0.00213519,3.16723e-34,-4.19497e-19,-3.01277e-36,-2.17696e-19,-1.8608e-36	0,-0.999892,9.02753e-17,0.999892,2.55293e-17,0,2.8513e-16,1.79991e-18	6.120072978906932	0.8178291524686686	5.97848028745797	0.7989080331874825	3.2205802588702563	0.430368139832151	2.6137463118330637	0.3492765426722617	6.120072978906932	0.8178291524686686	8.339097638619931	1.1143587956632641	8.603064143306131	1.149632803596122	5.504106937694387	0.7355172278934965	4.845364812175789	0.6474891086104312	8.603064143306131	1.149632803596122	6.828923260060554	0.9125532557042128	6.285118358892853	0.8398842690821413	5.504106937694387	0.7355172278934965	4.845364812175789	0.6474891086104312	6.828923260060554	0.9125532557042128	2.0064829372625604e-15	2.0302926359325184e-15	2.0730331580190775e-15	2.038117951841424e-15	2.0730331580190775e-15	1.5952166893062611e-13	2.0064829372625604e-15	2.0302926359325184e-15	0.27264009617832946	0.2726400961783294	0.27264009617832946	0.4164646260724116
0.0	80	40	rotated	0.5235987755982988	rotated	0.5235987755982988	3.749516569248226	0.5928506241682424	4.891137269519219	0.7733567060108796	3.894148111818843	0.6157188789695801	3.5078491401559173	0.5546396485577958	minus	2.1393454572921602e-19	0.9999351120391303	0.9999351120391303	-0.00213519,1.97545e-20,-0.00213519,9.90871e-34,0.00213519,-2.91365e-34,1.61765e-19,-1.41792e-36	0,-0.999892,-2.63774e-16,0.999892,-7.40085e-17,-0.999892,-1.83168e-16,9.93901e-18	minus	3.610242178821539e-19	0.9999351120391301	0.9999351120391301	-0.00213519,-1.18091e-19,-0.00213519,-6.39287e-32,0.00213519,-1.13178e-34,4.48766e-19,-3.02186e-37	0,-0.999892,2.14031e-18,0.999892,1.21692e-15,-0.999892,4.88591e-17,1.02693e-17	9.797961790536739	1.095445430229285	9.797958971138478	1.0954451150109767	0.007432947259504251	0.0008310287672711138	3.68309927487567e-07	4.11783017325109e-08	9.797961790536739	1.095445430229285	10.746231274154564	1.201465181547189	10.673619004890767	1.1933468830434708	6.479979151407675	0.7244836937664482	6.315577301265138	0.7061030081391758	10.746231274154564	1.201465181547189	9.623248394273492	1.0759118786980613	9.365958512243015	1.0471459953909088	6.479979151407675	0.7244836937664482	6.315577301265138	0.7061030081391758	9.623248394273492	1.0759118786980613	2.080483573663431e-15	2.0829014029679997e-15	2.018154756764362e-15	2.196459180938164e-15	2.196459180938164e-15	2.0901500794562402e-13	2.080483573663431e-15	2.0829014029679997e-15	0.5037346113623135	0.5037346113623131	0.5037346113623135	0.5286818471359253
0.1	8	4	rotated	0.5235987755982988	rotated	0.5235987755982988	1.892304124059187e-06	9.461520620295935e-07	1.8923041253449435e-06	9.461520626724717e-07	1.8923041252196338e-06	9.461520626098169e-07	2.958335336100443e-13	1.4791676680502216e-13	minus	2.8711496192408425e-35	1.0	1.0	0.0307061,-1.01565e-49,2.42406e-20,0,-2.83096e-19,9.27302e-67,-6.81385e-20,2.22552e-67	0,0.99958,2.32023e-17,0,-6.90643e-18,-9.21565e-18,2.40154e-17,-2.21812e-18	minus	1.0925716111179363e-33	1.0	1.0	0.0307061,-7.21646e-50,-2.1684e-20,0,-2.49803e-19,6.02746e-67,-8.30685e-20,1.94733e-67	0,0.99958,-5.54879e-17,0,-1.10976e-16,-8.13187e-18,-5.54879e-17,-2.70414e-18	0.0037164546320991258	0.0013139651361647236	5.314560553964596e-06	1.87898090336745e-06	0.00371645083216463	0.0013139637926849986	8.529441650124925e-09	3.015613015269155e-09	0.0037164546320991258	0.0013139651361647236	0.003716454632102966	0.0013139651361660813	5.314560557568393e-06	1.8789809046415846e-06	0.003716450832168465	0.0013139637926863545	8.529442137108083e-09	3.0156131874437018e-09	0.003716454632102966	0.0013139651361660813	0.003716454632102949	0.0013139651361660754	5.314560557400971e-06	1.878980904582392e-06	0.003716450832168465	0.0013139637926863545	8.529442137108083e-09	3.0156131874437018e-09	0.003716454632102949	0.0013139651361660754	1.103561363756116e-15	1.0759549462407656e-15	2.9490551494783522e-15	3.3866397538775087e-15	3.3866397538775087e-15	6.428207258970146e-12	1.103561363756116e-15	1.0759549462407656e-15	3.3142361653464818e-15	3.3336192072802763e-15	3.3336192072802763e-15	6.428216605180778e-12
0.1	32	16	rotated	0.5235987755982988	rotated	0.5235987755982988	2.526290272555992	0.631572568138998	4.05591503318705	1.0139787582967625	4.003395774330895	1.0008489435827237	3.4614930629764302	0.8653732657441076	minus	5.94299099551867e-19	0.9999997990987226	0.9999997990987226	0.0307061,-8.41387e-19,0.0113678,1.11998e-33,1.88237e-18,1.84337e-35,-2.0557e-19,2.72513e-36	0,0.99958,1.10976e-16,-0.999988,1.64096e-18,-1.79481e-17,-1.11e-17,7.85137e-18	minus	5.942990995518632e-19	0.9999997990987226	0.9999997990987226	0.0307061,4.20693e-19,0.0113678,-5.3264e-34,-1.49767e-18,-2.83639e-35,-5.84453e-19,-4.64877e-36	0,0.99958,1.10976e-16,-0.999988,7.4815e-18,-1.796e-17,-4.56474e-17,9.57947e-18	6.975855253128733	1.2331686385157816	6.728032935121002	1.1893594281176227	1.8428591589204895	0.3257745520111039	5.314489931707759e-06	9.39477967314547e-07	6.975855253128733	1.2331686385157816	7.790473278640603	1.3771741209948414	7.759280608872068	1.3716599839156804	6.513540756934727	1.1514422096908759	6.526675976222934	1.1537642103486414	7.790473278640603	1.3771741209948414	7.500660960201149	1.3259420570848581	6.456784939913739	1.1414091039190448	6.513540756934727	1.1514422096908759	6.526675976222934	1.1537642103486414	7.500660960201149	1.3259420570848581	2.120756943465012e-15	2.0819638388800456e-15	0.0007028352615572179	0.0007028352615579706	0.0007028352615579706	7.180227894332901e-12	2.120756943465012e-15	2.0819638388800456e-15	0.45716935985978685	0.45716935985978685	0.45716935985978685	0.6464025157210157
0.1	56	28	rotated	0.5235987755982988	rotated	0.5235987755982988	3.3389424280498297	0.6310008076130017	4.308554280479314	0.8142402240265071	2.928387204582905	0.5534131632735709	3.3056376399504357	0.624706794271666	minus	-8.865927608132595e-18	0.9998768051851437	0.9998768051851437	0.0307061,-2.08234e-18,0.0113678,2.53096e-19,0.00129242,-1.99578e-34,-6.68287e-20,4.8536e-35	0,0.99958,-1.86683e-15,-0.999988,-9.26146e-15,0.998628,2.78457e-17,2.01143e-17	minus	1.7270683021763424e-18	0.9998768051851433	0.9998768051851433	0.0307061,-1.06806e-18,0.0113678,-9.38236e-19,0.00129242,4.35301e-35,2.74477e-18,3.36749e-37	0,0.99958,2.62942e-16,-0.999988,2.68997e-15,0.998628,-5.17706e-17,2.12986e-17	9.189262332433005	1.2279668316125532	9.663244505770505	1.2913053637578185	5.168278687373969	0.6906402902685408	2.6757772405029883	0.3575657741889143	9.663244505770505	1.2913053637578185	9.514358932412076	1.2714096921385099	10.39097106081156	1.3885519151942798	3.048533795981875	0.40737746416305665	3.0527874589612574	0.40794588378832997	10.39097106081156	1.3885519151942798	8.809680657257848	1.1772430966552978	8.256877428405781	1.103371657917197	3.048533795981875	0.40737746416305665	3.0527874589612574	0.40794588378832997	8.809680657257848	1.1772430966552978	2.3382382974147315e-15	2.2836571769450796e-15	0.0016549625748388953	0.0016549625748380602	0.0016549625748388953	6.429437069032764e-12	2.3382382974147315e-15	2.2836571769450796e-15	0.7289894798690782	0.7289894798690782	0.7289894798690782	0.8618550897453595
0.1	80	40	rotated	0.5235987755982988	rotated	0.5235987755982988	3.7529264632313364	0.593389775746559	3.8470708888963387	0.60827531645205	3.30029483296249	0.5218224311123207	1.4325503984190142	0.22650610609928798	minus	-8.76825677389579e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.64264e-19,0.0113678,1.83041e-35,0.00129242,3.36159e-35,4.32117e-21,-7.33844e-37	0,0.99958,4.64914e-16,-0.999988,-1.6691e-14,0.998628,-7.50851e-18,2.0548e-17	minus	1.2007820979672417e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.18297e-19,0.0113678,7.60971e-34,0.00129242,-1.16789e-34,-4.01886e-19,-6.21106e-36	0,0.99958,2.89388e-17,-0.999988,-1.57876e-16,0.998628,-3.61324e-17,1.87476e-17	9.797481777649104	1.0953917631569436	9.797478957732935	1.0953914478807314	0.007432901647841668	0.0008310236677322086	1.5281047642682852e-08	1.7084730648225887e-09	9.797481777649104	1.0953917631569436	9.401636147577866	1.0511348762851676	9.76076888668976	1.0912871371651622	2.9695629476066085	0.33200723071565114	3.057457631246931	0.3418341550896811	9.76076888668976	1.0912871371651622	10.275673597628513	1.1488552339448588	10.028641858221222	1.121236245849123	2.9695629476066085	0.33200723071565114	3.057457631246931	0.3418341550896811	10.275673597628513	1.1488552339448588	2.2367342623592136e-15	2.1972481249278972e-15	0.001449064336271926	0.0014490643362711614	0.001449064336271926	7.0368930155532545e-12	2.2367342623592136e-15	2.1972481249278972e-15	0.503528213433793	0.5035282134337932	0.5035282134337932	0.5892360270659327
2.0	8	4	rotated	0.5235987755982988	rotated	0.5235987755982988	2.034427626987716e-06	1.017213813493858e-06	2.034427626799461e-06	1.0172138133997305e-06	2.0344276270764243e-06	1.0172138135382121e-06	6.297089176660197e-13	3.1485445883300986e-13	minus	-1.4456600394284585e-33	1.0	1.0	0.466895,3.42114e-49,5.34455e-18,0,-6.27538e-18,-7.12168e-66,-6.0796e-18,-7.12168e-66	0,0.985504,0,0,0,-1.32458e-17,1.09413e-16,-1.28326e-17	minus	1.0076561468347723e-33	0.9999999999999998	0.9999999999999998	0.466895,1.46334e-49,6.39563e-18,0,-5.57822e-18,-6.49111e-67,-6.37899e-18,6.49111e-68	0,0.985504,6.59124e-17,0,-5.74882e-17,-1.17743e-17,4.36721e-17,-1.34645e-17	0.003716467525043222	0.0013139696945088236	5.31458649498226e-06	1.8789900749022008e-06	0.003716463725084812	0.0013139683510206438	1.3860246184644973e-07	4.9003370330387164e-08	0.003716467525043222	0.0013139696945088236	0.0037164675250452865	0.0013139696945095535	5.314586494406745e-06	1.8789900746987252e-06	0.0037164637250868783	0.0013139683510213743	1.3860247053948804e-07	4.900337340384033e-08	0.0037164675250452865	0.0013139696945095535	0.0037164675250452852	0.001313969694509553	5.314586494774553e-06	1.878990074828765e-06	0.0037164637250868783	0.0013139683510213743	1.3860247053948804e-07	4.900337340384033e-08	0.0037164675250452852	0.001313969694509553	1.3078122902278645e-15	1.307800440424875e-15	1.5778625411706533e-15	1.8619652138794016e-15	1.8619652138794016e-15	1.1453646754212261e-12	1.3078122902278645e-15	1.307800440424875e-15	2.256800093412391e-15	2.2381687012008933e-15	2.256800093412391e-15	1.1455850289844776e-12
2.0	32	16	rotated	0.5235987755982988	rotated	0.5235987755982988	2.8983096935626786	0.7245774233906697	4.187685972598971	1.0469214931497428	4.127264852051802	1.0318162130129505	3.446796573621935	0.8616991434054837	minus	2.467019136158301e-35	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,3.10924e-34,4.71166e-18,1.72866e-34,3.80681e-18,1.74257e-34	0,0.985504,-7.14949e-34,-0.926439,4.7104e-50,-8.01076e-19,3.80579e-50,-8.07522e-19	minus	3.775429367263896e-18	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,-1.94903e-33,1.25188e-17,1.54295e-34,-1.29871e-18,1.61242e-34	0,0.985504,-1.09413e-16,-0.926439,-5.3691e-17,-7.8545e-19,-5.80351e-17,7.54761e-19	7.712734618756587	1.363431737603756	7.710804802854006	1.3630905911259668	0.46196214689233944	0.0816641416797673	0.3439332277909671	0.06079937941159259	7.712734618756587	1.363431737603756	7.818005035202258	1.3820410939355223	7.830228791503935	1.3842019691786442	6.627644785809819	1.1716131428354466	6.641835705298579	1.17412176668589	7.830228791503935	1.3842019691786442	7.697665358861452	1.3607678436389279	7.3498628479017905	1.2992844651356066	6.627644785809819	1.1716131428354466	6.641835705298579	1.17412176668589	7.697665358861452	1.3607678436389279	2.2783220297207807e-15	2.2280418225881665e-15	0.22642073235867363	0.22642073235867308	0.22642073235867363	1.0395253990930628e-12	2.2783220297207807e-15	2.2280418225881665e-15	0.39711878732685457	0.3971187873268545	0.39711878732685457	0.2864163936898094
