interaction_u	projection_level	transport_dim	ideal_target_gate_error	physical_target_gate_error_in_ideal_basis	physical_target_gate_error_in_physical_basis	best_b_candidate_target_axis	best_b_candidate_overlap_x	best_b_candidate_overlap_y	best_b_candidate_score	best_b_candidate_coefficients_plus	best_b_candidate_coefficients_minus	best_c_candidate_target_axis	best_c_candidate_overlap_x	best_c_candidate_overlap_y	best_c_candidate_score	best_c_candidate_coefficients_plus	best_c_candidate_coefficients_minus	ideal_single_exchange_gamma2_to_minus_gamma3_error	ideal_single_exchange_gamma3_to_gamma2_error	ideal_single_exchange_gamma1_to_gamma1_error	ideal_single_exchange_gamma0_to_gamma0_error	ideal_single_exchange_max_error	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_single_exchange_in_ideal_basis_max_error	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_single_exchange_in_physical_basis_max_error
0.0	8	4	1.8923019902095783e-06	1.892301940666823e-06	1.8923020337655737e-06	x	1.0	1.5908295554468736e-47	1.0	-1,-1.09625e-17,-3.42163e-18,-2.36099e-18	1.59083e-47,0,5.45995e-65,3.73888e-65	x	1.0	-5.131708243377013e-48	1.0	-1,-1.38068e-17,-3.24658e-18,-3.62787e-18	-5.13171e-48,0,-1.66172e-65,-1.89911e-65	0.0037164545830912356	5.31456049004981e-06	0.0037164507831567804	3.9645656079571844e-13	0.0037164545830912356	0.0037164545830880662	5.314560347074062e-06	0.0037164507831538157	3.321373969026683e-13	0.0037164545830880662	0.003716454583087799	5.314560532964687e-06	0.0037164507831538157	3.321373969026683e-13	0.003716454583087799
0.0	32	16	3.784603982094541e-06	0.04159520640037252	0.0003725913094676256	y	1.5059983757259426e-19	0.9999459258224118	0.9999459258224118	0,-1.76365e-16,-2.5503e-16,-9.01757e-17	0.999946,-0.999946,9.73495e-18,-1.05681e-18	y	-2.8439409365973426e-19	0.9999459258224117	0.9999459258224117	0,3.33049e-16,1.69121e-16,1.83303e-16	0.999946,-0.999946,5.3926e-33,-1.64676e-18	0.0074329091661782	1.062912098884465e-05	0.007432901566309288	7.069513544903652e-13	0.0074329091661782	0.0835201428036378	0.08319327220655265	0.007432901836866793	7.06981427292977e-13	0.0835201428036378	0.007495578203570066	0.0004327122913649143	0.007432901836866793	7.06981427292977e-13	0.007495578203570066
0.0	56	28	5.006560474759944e-06	0.07204468605436268	0.00034977595459582733	y	7.22132347474338e-21	0.9999073067800495	0.9999073067800495	0,-6.4587e-18,1.79922e-16,1.45271e-16	0.999907,-0.999907,9.84325e-18,-5.1672e-19	y	2.4399131640251143e-19	0.9999073067800494	0.9999073067800494	0,-2.18224e-16,2.18027e-16,1.87546e-17	0.999907,-0.999907,6.93335e-33,-1.79993e-18	0.009832814585719293	1.4061005397919907e-05	0.009832804532037795	8.446961964672265e-13	0.009832814585719293	0.1444235325156067	0.1440910786962893	0.00983280473656421	8.451044885254368e-13	0.1444235325156067	0.009880269447110122	0.00043279349224406897	0.00983280473656421	8.451044885254368e-13	0.009880269447110122
0.0	80	40	5.983984312366252e-06	0.07204468633555408	0.0005481227320043349	y	1.740657358007616e-17	0.9999351120391304	0.9999351120391304	0,-1.40437e-15,5.4153e-14,-2.76654e-16	0.999935,-0.999935,0.999935,-9.93944e-18	y	-4.314783119690724e-18	0.99993511203913	0.99993511203913	0,5.15544e-15,9.98378e-16,3.36684e-16	0.999935,-0.999935,0.999935,-1.02697e-17	0.01175246130313378	1.680611592382349e-05	0.011752449286685826	1.3241950468526153e-12	0.01175246130313378	0.14456691518937262	0.14409107940361876	0.011752449457803717	1.3246869183225842e-12	0.14456691518937262	0.011792195741775785	0.000432903399799787	0.011752449457803717	1.3246869183225842e-12	0.011792195741775785
0.0	256	128	1.0704476559949497e-05	0.14997287034071832	0.0007955711355437715	y	-1.3207415565965897e-18	0.9999121339145979	0.9999121339145979	0,1.21257e-15,1.17615e-14,-2.52246e-14	0.999912,-0.999912,0.999912,-0.999912	y	-5.7340597150158826e-18	0.9999121339145981	0.9999121339145981	0,2.71276e-16,-6.18715e-15,-1.16573e-14	0.999912,-0.999912,0.999912,-0.999912	0.021023441901392236	3.0063694118500887e-05	0.02102342040571681	2.6973893131663163e-12	0.021023441901392236	0.3006802561836331	0.299948253756371	0.021023420692699527	2.698900681386227e-12	0.3006802561836331	0.02109008254099447	0.0007498311476654572	0.021023420692699527	2.698900681386227e-12	0.02109008254099447
0.0	512	256	1.513841593289314e-05	0.2352964311265762	1.5138415935243531e-05	y	-1.2383820439263994e-19	0.9998918604140645	0.9998918604140645	0,8.4823e-16,2.64753e-17,5.89785e-16	0.999892,-0.999892,0.999892,-0.999892	y	-1.6699150872723812e-19	0.9998918604140645	0.9998918604140645	0,-2.97151e-17,-1.10565e-16,-2.31952e-16	0.999892,-0.999892,0.999892,-0.999892	0.029731636664713856	4.251648395988672e-05	0.029731606265238016	4.220593371194139e-12	0.029731636664713856	0.4715312038571928	0.47059313528091423	0.029731606265251582	4.2227703322330676e-12	0.4715312038571928	0.029731636664727383	4.251648396672996e-05	0.029731606265251582	4.2227703322330676e-12	0.029731636664727383
0.1	8	4	1.892301995207769e-06	1.892301995334328e-06	1.8923019925756215e-06	x	1.0000000000000002	-2.1382117680737603e-49	1.0000000000000002	1,7.89439e-19,-9.21952e-18,-2.21905e-18	2.13821e-49,0,-5.04452e-66,-8.16025e-67	y	1.741448477333453e-33	1.0	1.0	0,3.68696e-17,-6.0277e-18,9.04256e-17	-1,0,8.13528e-18,2.70528e-18	0.003716454583089713	5.314560490087016e-06	0.003716450783155257	1.2856332874751707e-11	0.003716454583089713	0.0037164545830877856	5.314560491712426e-06	0.003716450783153328	1.2856305096861576e-11	0.0037164545830877856	0.0037164545830877856	5.3145604917046415e-06	0.003716450783153328	1.2856305096861576e-11	0.0037164545830877856
0.1	32	16	0.0006405582795032036	0.002607530867945881	0.0006767265465116716	y	-5.942990995518695e-19	0.9999997990987226	0.9999997990987226	0,-1.11011e-16,-9.67485e-18,3.76913e-17	-0.999898,1.00031,1.79538e-17,-7.85387e-18	y	-7.311198518095024e-19	0.9999997990987227	0.9999997990987227	0,-1.36568e-16,3.73604e-17,7.21397e-17	-0.999898,1.00031,1.79657e-17,-9.58251e-18	0.007609816225671028	0.0016313428814288408	0.007432901566677636	2.6263072023013374e-11	0.007609816225671028	0.009135913529103703	0.00531196055224295	0.007432901566699972	2.6263012426447422e-11	0.009135913529103703	0.007620303646806429	0.0016795815578478362	0.007432901566699972	2.6263012426447422e-11	0.007620303646806429
0.1	56	28	0.002209228806931568	0.08308649909765622	0.0022427060393770803	y	1.3141659179390422e-18	0.9998768051851438	0.9998768051851438	0,3.82118e-16,4.47108e-16,-2.77344e-17	-0.999955,1.00036,-0.999002,-2.0087e-17	y	-1.4287609139145037e-18	0.9998768051851433	0.9998768051851433	0,-4.21852e-16,-4.29688e-16,-1.10496e-16	-0.999955,1.00036,-0.999002,-2.09878e-17	0.010670615545905432	0.004144635813613398	0.009832804533835808	3.4455354752734244e-11	0.010670615545905432	0.16643835722417974	0.16618161871752513	0.009832807615382383	3.444985024888914e-11	0.16643835722417974	0.010729872447086163	0.002678328924191386	0.009832807615382383	3.444985024888914e-11	0.010729872447086163
0.1	80	40	0.002772595852283822	0.08317341693399767	0.0025423314729256003	y	3.6094446510934327e-19	0.9999136162361854	0.9999136162361854	0,1.11122e-16,-1.11085e-15,-3.62762e-17	-0.999886,1.00029,-0.998934,-2.05543e-17	y	1.0450841855861963e-18	0.9999136162361854	0.9999136162361854	0,2.23635e-16,-6.27536e-16,-5.14026e-17	-0.999886,1.00029,-0.998934,-1.87533e-17	0.012568058666841684	0.0044537682451110125	0.011752449288425056	4.192112467726752e-11	0.012568058666841684	0.16670681385381356	0.16632596813893782	0.011752451866254034	4.1916049937116014e-11	0.16670681385381356	0.012630688584208212	0.003184730344359916	0.011752451866254034	4.1916049937116014e-11	0.012630688584208212
0.1	256	128	0.005754760534274941	0.29425558551231	0.00513892552402269	y	-6.576473405885775e-17	0.9996618195533591	0.9996618195533591	0,4.91573e-16,-3.078e-15,-2.93664e-14	-0.999762,1.00017,-0.99881,0.99924	y	-5.248054012072606e-17	0.9996618195533591	0.9996618195533591	0,-4.19775e-16,1.75351e-16,-2.2259e-14	-0.999762,1.00017,-0.99881,0.99924	0.024040263558837233	0.011659767753316319	0.021023420412379104	7.281997054406994e-11	0.024040263558837233	0.5888437071274286	0.5885322291681682	0.02102343000582528	7.280623734464706e-11	0.5888437071274286	0.023446973914345262	0.005720797598345281	0.02102343000582528	7.280623734464706e-11	0.023446973914345262
